""	"Year"	"Month"	"DayOfWeek"	"TimeOfDay"	"Status"	"dummy"	"NumberOfFlights"
"283"	2001	"Dec"	"Fri"	"Evening"	"Medium Delay"	0	367
"284"	2001	"Dec"	"Fri"	"Evening"	"On Time"	0	484
"285"	2001	"Dec"	"Fri"	"Evening"	"Short Delay"	0	154
"286"	2001	"Dec"	"Fri"	"Mid-Day"	"Cancelled"	0	4
"287"	2001	"Dec"	"Fri"	"Mid-Day"	"Long Delay"	0	86
"288"	2001	"Dec"	"Fri"	"Mid-Day"	"Medium Delay"	0	319
"289"	2001	"Dec"	"Fri"	"Mid-Day"	"On Time"	0	638
"290"	2001	"Dec"	"Fri"	"Mid-Day"	"Short Delay"	0	199
"291"	2001	"Dec"	"Fri"	"Morning"	"Cancelled"	0	3
"292"	2001	"Dec"	"Fri"	"Morning"	"Long Delay"	0	38
"293"	2001	"Dec"	"Fri"	"Morning"	"Medium Delay"	0	144
"294"	2001	"Dec"	"Fri"	"Morning"	"On Time"	0	339
"295"	2001	"Dec"	"Fri"	"Morning"	"Short Delay"	0	94
"296"	2001	"Dec"	"Fri"	"Night"	"Long Delay"	0	1
"297"	2001	"Dec"	"Fri"	"Night"	"Medium Delay"	0	10
"298"	2001	"Dec"	"Fri"	"Night"	"On Time"	0	16
"299"	2001	"Dec"	"Fri"	"Night"	"Short Delay"	0	3
"300"	2001	"Dec"	"Mon"	"Evening"	"Cancelled"	0	10
"301"	2001	"Dec"	"Mon"	"Evening"	"Long Delay"	0	67
"302"	2001	"Dec"	"Mon"	"Evening"	"Medium Delay"	0	197
"303"	2001	"Dec"	"Mon"	"Evening"	"On Time"	0	961
"304"	2001	"Dec"	"Mon"	"Evening"	"Short Delay"	0	139
"305"	2001	"Dec"	"Mon"	"Mid-Day"	"Cancelled"	0	10
"306"	2001	"Dec"	"Mon"	"Mid-Day"	"Long Delay"	0	72
"307"	2001	"Dec"	"Mon"	"Mid-Day"	"Medium Delay"	0	246
"308"	2001	"Dec"	"Mon"	"Mid-Day"	"On Time"	0	1050
"309"	2001	"Dec"	"Mon"	"Mid-Day"	"Short Delay"	0	185
"310"	2001	"Dec"	"Mon"	"Morning"	"Cancelled"	0	8
"311"	2001	"Dec"	"Mon"	"Morning"	"Long Delay"	0	43
"312"	2001	"Dec"	"Mon"	"Morning"	"Medium Delay"	0	121
"313"	2001	"Dec"	"Mon"	"Morning"	"On Time"	0	514
"314"	2001	"Dec"	"Mon"	"Morning"	"Short Delay"	0	81
"315"	2001	"Dec"	"Mon"	"Night"	"Long Delay"	0	3
"316"	2001	"Dec"	"Mon"	"Night"	"Medium Delay"	0	3
"317"	2001	"Dec"	"Mon"	"Night"	"On Time"	0	26
"318"	2001	"Dec"	"Mon"	"Night"	"Short Delay"	0	7
"319"	2001	"Dec"	"Sat"	"Evening"	"Cancelled"	0	7
"320"	2001	"Dec"	"Sat"	"Evening"	"Long Delay"	0	173
"321"	2001	"Dec"	"Sat"	"Evening"	"Medium Delay"	0	210
"322"	2001	"Dec"	"Sat"	"Evening"	"On Time"	0	681
"323"	2001	"Dec"	"Sat"	"Evening"	"Short Delay"	0	99
"324"	2001	"Dec"	"Sat"	"Mid-Day"	"Cancelled"	0	6
"325"	2001	"Dec"	"Sat"	"Mid-Day"	"Long Delay"	0	142
"326"	2001	"Dec"	"Sat"	"Mid-Day"	"Medium Delay"	0	286
"327"	2001	"Dec"	"Sat"	"Mid-Day"	"On Time"	0	799
"328"	2001	"Dec"	"Sat"	"Mid-Day"	"Short Delay"	0	152
"329"	2001	"Dec"	"Sat"	"Morning"	"Cancelled"	0	7
"330"	2001	"Dec"	"Sat"	"Morning"	"Long Delay"	0	34
"331"	2001	"Dec"	"Sat"	"Morning"	"Medium Delay"	0	142
"332"	2001	"Dec"	"Sat"	"Morning"	"On Time"	0	394
"333"	2001	"Dec"	"Sat"	"Morning"	"Short Delay"	0	98
"334"	2001	"Dec"	"Sat"	"Night"	"Medium Delay"	0	7
"335"	2001	"Dec"	"Sat"	"Night"	"On Time"	0	17
"336"	2001	"Dec"	"Sat"	"Night"	"Short Delay"	0	2
"337"	2001	"Dec"	"Sun"	"Evening"	"Cancelled"	0	8
"338"	2001	"Dec"	"Sun"	"Evening"	"Long Delay"	0	145
"339"	2001	"Dec"	"Sun"	"Evening"	"Medium Delay"	0	290
"340"	2001	"Dec"	"Sun"	"Evening"	"On Time"	0	765
"341"	2001	"Dec"	"Sun"	"Evening"	"Short Delay"	0	153
"342"	2001	"Dec"	"Sun"	"Mid-Day"	"Cancelled"	0	15
"343"	2001	"Dec"	"Sun"	"Mid-Day"	"Long Delay"	0	156
"344"	2001	"Dec"	"Sun"	"Mid-Day"	"Medium Delay"	0	313
"345"	2001	"Dec"	"Sun"	"Mid-Day"	"On Time"	0	838
"346"	2001	"Dec"	"Sun"	"Mid-Day"	"Short Delay"	0	139
"347"	2001	"Dec"	"Sun"	"Morning"	"Cancelled"	0	4
"348"	2001	"Dec"	"Sun"	"Morning"	"Long Delay"	0	54
"349"	2001	"Dec"	"Sun"	"Morning"	"Medium Delay"	0	131
"350"	2001	"Dec"	"Sun"	"Morning"	"On Time"	0	377
"351"	2001	"Dec"	"Sun"	"Morning"	"Short Delay"	0	69
"352"	2001	"Dec"	"Sun"	"Night"	"Long Delay"	0	8
"353"	2001	"Dec"	"Sun"	"Night"	"Medium Delay"	0	8
"354"	2001	"Dec"	"Sun"	"Night"	"On Time"	0	15
"355"	2001	"Dec"	"Sun"	"Night"	"Short Delay"	0	5
"356"	2001	"Dec"	"Thurs"	"Evening"	"Cancelled"	0	6
"357"	2001	"Dec"	"Thurs"	"Evening"	"Long Delay"	0	146
"358"	2001	"Dec"	"Thurs"	"Evening"	"Medium Delay"	0	295
"359"	2001	"Dec"	"Thurs"	"Evening"	"On Time"	0	497
"360"	2001	"Dec"	"Thurs"	"Evening"	"Short Delay"	0	167
"361"	2001	"Dec"	"Thurs"	"Mid-Day"	"Cancelled"	0	11
"362"	2001	"Dec"	"Thurs"	"Mid-Day"	"Long Delay"	0	128
"363"	2001	"Dec"	"Thurs"	"Mid-Day"	"Medium Delay"	0	339
"364"	2001	"Dec"	"Thurs"	"Mid-Day"	"On Time"	0	576
"365"	2001	"Dec"	"Thurs"	"Mid-Day"	"Short Delay"	0	192
"366"	2001	"Dec"	"Thurs"	"Morning"	"Cancelled"	0	3
"367"	2001	"Dec"	"Thurs"	"Morning"	"Long Delay"	0	50
"368"	2001	"Dec"	"Thurs"	"Morning"	"Medium Delay"	0	129
"369"	2001	"Dec"	"Thurs"	"Morning"	"On Time"	0	360
