""	"DayOfWeek"	"Status"	"TimeOfDay"	"Years"	"ArrDep"	"Month"	"NumberOfFlights"
"248"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Feb"	20
"249"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Jan"	30
"250"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Jul"	25
"251"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Jun"	39
"252"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Mar"	16
"253"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"May"	12
"254"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Nov"	11
"255"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Oct"	10
"256"	"Fri"	"Cancelled"	"Night"	"1995-2001"	"Departing"	"Sept"	81
"257"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Apr"	10
"258"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Aug"	23
"259"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Dec"	14
"260"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Feb"	4
"261"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Jan"	8
"262"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Jul"	10
"263"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Jun"	9
"264"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Mar"	9
"265"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"May"	3
"266"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Nov"	4
"267"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Oct"	9
"268"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Arriving"	"Sept"	8
"269"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Apr"	7
"270"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Aug"	6
"271"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Dec"	17
"272"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Feb"	13
"273"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Jan"	4
"274"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Jul"	4
"275"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Jun"	12
"276"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Mar"	13
"277"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"May"	6
"278"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Nov"	4
"279"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Oct"	6
"280"	"Fri"	"Cancelled"	"Night"	"2002-2008"	"Departing"	"Sept"	6
"281"	"Fri"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Apr"	295
"282"	"Fri"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Aug"	336
"283"	"Fri"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Dec"	507
"284"	"Fri"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Feb"	478
"285"	"Fri"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Jan"	367
"286"	"Fri"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Jul"	378
"287"	"Fri"	"Long Delay"	"Evening"	"1988-1994"	"Arriving"	"Jun"	401
