""	"Month"	"DayOfWeek"	"TimeOfDay"	"Status"	"NumberOfFlights"
"844"	"Jun"	"Fri"	"Evening"	"On Time"	4854
"845"	"Jun"	"Fri"	"Evening"	"Short Delay"	1114
"846"	"Jun"	"Fri"	"Mid-Day"	"Cancelled"	253
"847"	"Jun"	"Fri"	"Mid-Day"	"Long Delay"	1340
"848"	"Jun"	"Fri"	"Mid-Day"	"Medium Delay"	2356
"849"	"Jun"	"Fri"	"Mid-Day"	"On Time"	6200
"850"	"Jun"	"Fri"	"Mid-Day"	"Short Delay"	1395
"851"	"Jun"	"Fri"	"Morning"	"Cancelled"	98
"852"	"Jun"	"Fri"	"Morning"	"Long Delay"	392
"853"	"Jun"	"Fri"	"Morning"	"Medium Delay"	893
"854"	"Jun"	"Fri"	"Morning"	"On Time"	3988
"855"	"Jun"	"Fri"	"Morning"	"Short Delay"	595
"856"	"Jun"	"Fri"	"Night"	"Cancelled"	30
"857"	"Jun"	"Fri"	"Night"	"Long Delay"	219
"858"	"Jun"	"Fri"	"Night"	"Medium Delay"	263
"859"	"Jun"	"Fri"	"Night"	"On Time"	543
"860"	"Jun"	"Fri"	"Night"	"Short Delay"	100
"861"	"Jun"	"Mon"	"Evening"	"Cancelled"	270
"862"	"Jun"	"Mon"	"Evening"	"Long Delay"	2096
"863"	"Jun"	"Mon"	"Evening"	"Medium Delay"	2033
"864"	"Jun"	"Mon"	"Evening"	"On Time"	4794
"865"	"Jun"	"Mon"	"Evening"	"Short Delay"	1010
"866"	"Jun"	"Mon"	"Mid-Day"	"Cancelled"	133
"867"	"Jun"	"Mon"	"Mid-Day"	"Long Delay"	1123
"868"	"Jun"	"Mon"	"Mid-Day"	"Medium Delay"	2150
"869"	"Jun"	"Mon"	"Mid-Day"	"On Time"	6431
"870"	"Jun"	"Mon"	"Mid-Day"	"Short Delay"	1347
"871"	"Jun"	"Mon"	"Morning"	"Cancelled"	66
"872"	"Jun"	"Mon"	"Morning"	"Long Delay"	366
"873"	"Jun"	"Mon"	"Morning"	"Medium Delay"	762
"874"	"Jun"	"Mon"	"Morning"	"On Time"	3960
"875"	"Jun"	"Mon"	"Morning"	"Short Delay"	629
"876"	"Jun"	"Mon"	"Night"	"Cancelled"	30
"877"	"Jun"	"Mon"	"Night"	"Long Delay"	265
"878"	"Jun"	"Mon"	"Night"	"Medium Delay"	208
"879"	"Jun"	"Mon"	"Night"	"On Time"	477
"880"	"Jun"	"Mon"	"Night"	"Short Delay"	90
"881"	"Jun"	"Sat"	"Evening"	"Cancelled"	118
"882"	"Jun"	"Sat"	"Evening"	"Long Delay"	924
"883"	"Jun"	"Sat"	"Evening"	"Medium Delay"	1776
"884"	"Jun"	"Sat"	"Evening"	"On Time"	5522
"885"	"Jun"	"Sat"	"Evening"	"Short Delay"	993
"886"	"Jun"	"Sat"	"Mid-Day"	"Cancelled"	147
"887"	"Jun"	"Sat"	"Mid-Day"	"Long Delay"	791
"888"	"Jun"	"Sat"	"Mid-Day"	"Medium Delay"	1954
"889"	"Jun"	"Sat"	"Mid-Day"	"On Time"	6674
"890"	"Jun"	"Sat"	"Mid-Day"	"Short Delay"	1337
"891"	"Jun"	"Sat"	"Morning"	"Cancelled"	89
"892"	"Jun"	"Sat"	"Morning"	"Long Delay"	289
"893"	"Jun"	"Sat"	"Morning"	"Medium Delay"	741
"894"	"Jun"	"Sat"	"Morning"	"On Time"	3820
"895"	"Jun"	"Sat"	"Morning"	"Short Delay"	599
"896"	"Jun"	"Sat"	"Night"	"Cancelled"	15
"897"	"Jun"	"Sat"	"Night"	"Long Delay"	100
"898"	"Jun"	"Sat"	"Night"	"Medium Delay"	137
"899"	"Jun"	"Sat"	"Night"	"On Time"	564
"900"	"Jun"	"Sat"	"Night"	"Short Delay"	72
"901"	"Jun"	"Sun"	"Evening"	"Cancelled"	101
"902"	"Jun"	"Sun"	"Evening"	"Long Delay"	1208
"903"	"Jun"	"Sun"	"Evening"	"Medium Delay"	2108
"904"	"Jun"	"Sun"	"Evening"	"On Time"	5878
"905"	"Jun"	"Sun"	"Evening"	"Short Delay"	1149
"906"	"Jun"	"Sun"	"Mid-Day"	"Cancelled"	86
"907"	"Jun"	"Sun"	"Mid-Day"	"Long Delay"	731
"908"	"Jun"	"Sun"	"Mid-Day"	"Medium Delay"	1875
"909"	"Jun"	"Sun"	"Mid-Day"	"On Time"	7201
"910"	"Jun"	"Sun"	"Mid-Day"	"Short Delay"	1352
"911"	"Jun"	"Sun"	"Morning"	"Cancelled"	69
"912"	"Jun"	"Sun"	"Morning"	"Long Delay"	243
"913"	"Jun"	"Sun"	"Morning"	"Medium Delay"	658
"914"	"Jun"	"Sun"	"Morning"	"On Time"	3654
"915"	"Jun"	"Sun"	"Morning"	"Short Delay"	525
"916"	"Jun"	"Sun"	"Night"	"Cancelled"	12
"917"	"Jun"	"Sun"	"Night"	"Long Delay"	166
"918"	"Jun"	"Sun"	"Night"	"Medium Delay"	211
"919"	"Jun"	"Sun"	"Night"	"On Time"	613
"920"	"Jun"	"Sun"	"Night"	"Short Delay"	94
"921"	"Jun"	"Thurs"	"Evening"	"Cancelled"	198
"922"	"Jun"	"Thurs"	"Evening"	"Long Delay"	1920
"923"	"Jun"	"Thurs"	"Evening"	"Medium Delay"	2226
"924"	"Jun"	"Thurs"	"Evening"	"On Time"	4817
"925"	"Jun"	"Thurs"	"Evening"	"Short Delay"	1058
"926"	"Jun"	"Thurs"	"Mid-Day"	"Cancelled"	160
"927"	"Jun"	"Thurs"	"Mid-Day"	"Long Delay"	1036
"928"	"Jun"	"Thurs"	"Mid-Day"	"Medium Delay"	2324
"929"	"Jun"	"Thurs"	"Mid-Day"	"On Time"	6294
"930"	"Jun"	"Thurs"	"Mid-Day"	"Short Delay"	1362
"931"	"Jun"	"Thurs"	"Morning"	"Cancelled"	100
"932"	"Jun"	"Thurs"	"Morning"	"Long Delay"	345
"933"	"Jun"	"Thurs"	"Morning"	"Medium Delay"	829
"934"	"Jun"	"Thurs"	"Morning"	"On Time"	3886
"935"	"Jun"	"Thurs"	"Morning"	"Short Delay"	610
"936"	"Jun"	"Thurs"	"Night"	"Cancelled"	26
"937"	"Jun"	"Thurs"	"Night"	"Long Delay"	247
"938"	"Jun"	"Thurs"	"Night"	"Medium Delay"	270
"939"	"Jun"	"Thurs"	"Night"	"On Time"	443
"940"	"Jun"	"Thurs"	"Night"	"Short Delay"	94
"941"	"Jun"	"Tues"	"Evening"	"Cancelled"	174
"942"	"Jun"	"Tues"	"Evening"	"Long Delay"	1357
"943"	"Jun"	"Tues"	"Evening"	"Medium Delay"	2177
"944"	"Jun"	"Tues"	"Evening"	"On Time"	5113
"945"	"Jun"	"Tues"	"Evening"	"Short Delay"	1078
"946"	"Jun"	"Tues"	"Mid-Day"	"Cancelled"	206
"947"	"Jun"	"Tues"	"Mid-Day"	"Long Delay"	970
"948"	"Jun"	"Tues"	"Mid-Day"	"Medium Delay"	2128
"949"	"Jun"	"Tues"	"Mid-Day"	"On Time"	6307
"950"	"Jun"	"Tues"	"Mid-Day"	"Short Delay"	1242
"951"	"Jun"	"Tues"	"Morning"	"Cancelled"	116
"952"	"Jun"	"Tues"	"Morning"	"Long Delay"	361
"953"	"Jun"	"Tues"	"Morning"	"Medium Delay"	815
"954"	"Jun"	"Tues"	"Morning"	"On Time"	3681
"955"	"Jun"	"Tues"	"Morning"	"Short Delay"	614
"956"	"Jun"	"Tues"	"Night"	"Cancelled"	21
"957"	"Jun"	"Tues"	"Night"	"Long Delay"	145
"958"	"Jun"	"Tues"	"Night"	"Medium Delay"	203
"959"	"Jun"	"Tues"	"Night"	"On Time"	564
"960"	"Jun"	"Tues"	"Night"	"Short Delay"	98
"961"	"Jun"	"Wed"	"Evening"	"Cancelled"	202
"962"	"Jun"	"Wed"	"Evening"	"Long Delay"	1711
"963"	"Jun"	"Wed"	"Evening"	"Medium Delay"	2360
"964"	"Jun"	"Wed"	"Evening"	"On Time"	4802
"965"	"Jun"	"Wed"	"Evening"	"Short Delay"	1116
"966"	"Jun"	"Wed"	"Mid-Day"	"Cancelled"	242
"967"	"Jun"	"Wed"	"Mid-Day"	"Long Delay"	1054
"968"	"Jun"	"Wed"	"Mid-Day"	"Medium Delay"	2381
"969"	"Jun"	"Wed"	"Mid-Day"	"On Time"	6150
"970"	"Jun"	"Wed"	"Mid-Day"	"Short Delay"	1351
"971"	"Jun"	"Wed"	"Morning"	"Cancelled"	126
"972"	"Jun"	"Wed"	"Morning"	"Long Delay"	382
"973"	"Jun"	"Wed"	"Morning"	"Medium Delay"	781
"974"	"Jun"	"Wed"	"Morning"	"On Time"	3895
"975"	"Jun"	"Wed"	"Morning"	"Short Delay"	582
"976"	"Jun"	"Wed"	"Night"	"Cancelled"	23
"977"	"Jun"	"Wed"	"Night"	"Long Delay"	226
"978"	"Jun"	"Wed"	"Night"	"Medium Delay"	225
"979"	"Jun"	"Wed"	"Night"	"On Time"	468
"980"	"Jun"	"Wed"	"Night"	"Short Delay"	108
"981"	"Mar"	"Fri"	"Evening"	"Cancelled"	307
"982"	"Mar"	"Fri"	"Evening"	"Long Delay"	1714
"983"	"Mar"	"Fri"	"Evening"	"Medium Delay"	2323
"984"	"Mar"	"Fri"	"Evening"	"On Time"	5340
"985"	"Mar"	"Fri"	"Evening"	"Short Delay"	1137
"986"	"Mar"	"Fri"	"Mid-Day"	"Cancelled"	275
"987"	"Mar"	"Fri"	"Mid-Day"	"Long Delay"	1240
"988"	"Mar"	"Fri"	"Mid-Day"	"Medium Delay"	2373
"989"	"Mar"	"Fri"	"Mid-Day"	"On Time"	6359
"990"	"Mar"	"Fri"	"Mid-Day"	"Short Delay"	1320
"991"	"Mar"	"Fri"	"Morning"	"Cancelled"	177
"992"	"Mar"	"Fri"	"Morning"	"Long Delay"	434
"993"	"Mar"	"Fri"	"Morning"	"Medium Delay"	1029
"994"	"Mar"	"Fri"	"Morning"	"On Time"	3566
"995"	"Mar"	"Fri"	"Morning"	"Short Delay"	669
"996"	"Mar"	"Fri"	"Night"	"Cancelled"	26
"997"	"Mar"	"Fri"	"Night"	"Long Delay"	173
"998"	"Mar"	"Fri"	"Night"	"Medium Delay"	215
"999"	"Mar"	"Fri"	"Night"	"On Time"	538
"1000"	"Mar"	"Fri"	"Night"	"Short Delay"	90
"1001"	"Mar"	"Mon"	"Evening"	"Cancelled"	226
"1002"	"Mar"	"Mon"	"Evening"	"Long Delay"	1371
"1003"	"Mar"	"Mon"	"Evening"	"Medium Delay"	1982
"1004"	"Mar"	"Mon"	"Evening"	"On Time"	5971
"1005"	"Mar"	"Mon"	"Evening"	"Short Delay"	1023
"1006"	"Mar"	"Mon"	"Mid-Day"	"Cancelled"	315
"1007"	"Mar"	"Mon"	"Mid-Day"	"Long Delay"	1319
"1008"	"Mar"	"Mon"	"Mid-Day"	"Medium Delay"	2141
"1009"	"Mar"	"Mon"	"Mid-Day"	"On Time"	6314
"1010"	"Mar"	"Mon"	"Mid-Day"	"Short Delay"	1222
"1011"	"Mar"	"Mon"	"Morning"	"Cancelled"	140
"1012"	"Mar"	"Mon"	"Morning"	"Long Delay"	473
"1013"	"Mar"	"Mon"	"Morning"	"Medium Delay"	926
"1014"	"Mar"	"Mon"	"Morning"	"On Time"	3629
"1015"	"Mar"	"Mon"	"Morning"	"Short Delay"	561
"1016"	"Mar"	"Mon"	"Night"	"Cancelled"	22
"1017"	"Mar"	"Mon"	"Night"	"Long Delay"	130
"1018"	"Mar"	"Mon"	"Night"	"Medium Delay"	196
"1019"	"Mar"	"Mon"	"Night"	"On Time"	574
"1020"	"Mar"	"Mon"	"Night"	"Short Delay"	92
"1021"	"Mar"	"Sat"	"Evening"	"Cancelled"	104
"1022"	"Mar"	"Sat"	"Evening"	"Long Delay"	1166
"1023"	"Mar"	"Sat"	"Evening"	"Medium Delay"	1916
"1024"	"Mar"	"Sat"	"Evening"	"On Time"	4921
"1025"	"Mar"	"Sat"	"Evening"	"Short Delay"	962
"1026"	"Mar"	"Sat"	"Mid-Day"	"Cancelled"	228
"1027"	"Mar"	"Sat"	"Mid-Day"	"Long Delay"	1178
"1028"	"Mar"	"Sat"	"Mid-Day"	"Medium Delay"	2230
"1029"	"Mar"	"Sat"	"Mid-Day"	"On Time"	5545
"1030"	"Mar"	"Sat"	"Mid-Day"	"Short Delay"	1180
"1031"	"Mar"	"Sat"	"Morning"	"Cancelled"	168
"1032"	"Mar"	"Sat"	"Morning"	"Long Delay"	491
"1033"	"Mar"	"Sat"	"Morning"	"Medium Delay"	1080
"1034"	"Mar"	"Sat"	"Morning"	"On Time"	2950
"1035"	"Mar"	"Sat"	"Morning"	"Short Delay"	644
"1036"	"Mar"	"Sat"	"Night"	"Cancelled"	6
"1037"	"Mar"	"Sat"	"Night"	"Long Delay"	87
"1038"	"Mar"	"Sat"	"Night"	"Medium Delay"	160
"1039"	"Mar"	"Sat"	"Night"	"On Time"	468
"1040"	"Mar"	"Sat"	"Night"	"Short Delay"	56
"1041"	"Mar"	"Sun"	"Evening"	"Cancelled"	91
"1042"	"Mar"	"Sun"	"Evening"	"Long Delay"	1179
"1043"	"Mar"	"Sun"	"Evening"	"Medium Delay"	2270
"1044"	"Mar"	"Sun"	"Evening"	"On Time"	5787
"1045"	"Mar"	"Sun"	"Evening"	"Short Delay"	1067
"1046"	"Mar"	"Sun"	"Mid-Day"	"Cancelled"	88
"1047"	"Mar"	"Sun"	"Mid-Day"	"Long Delay"	797
"1048"	"Mar"	"Sun"	"Mid-Day"	"Medium Delay"	2100
"1049"	"Mar"	"Sun"	"Mid-Day"	"On Time"	6535
"1050"	"Mar"	"Sun"	"Mid-Day"	"Short Delay"	1221
"1051"	"Mar"	"Sun"	"Morning"	"Cancelled"	65
"1052"	"Mar"	"Sun"	"Morning"	"Long Delay"	317
"1053"	"Mar"	"Sun"	"Morning"	"Medium Delay"	688
"1054"	"Mar"	"Sun"	"Morning"	"On Time"	3000
"1055"	"Mar"	"Sun"	"Morning"	"Short Delay"	481
"1056"	"Mar"	"Sun"	"Night"	"Cancelled"	20
"1057"	"Mar"	"Sun"	"Night"	"Long Delay"	131
"1058"	"Mar"	"Sun"	"Night"	"Medium Delay"	237
"1059"	"Mar"	"Sun"	"Night"	"On Time"	524
"1060"	"Mar"	"Sun"	"Night"	"Short Delay"	86
"1061"	"Mar"	"Thurs"	"Evening"	"Cancelled"	461
"1062"	"Mar"	"Thurs"	"Evening"	"Long Delay"	1581
"1063"	"Mar"	"Thurs"	"Evening"	"Medium Delay"	2468
"1064"	"Mar"	"Thurs"	"Evening"	"On Time"	5154
"1065"	"Mar"	"Thurs"	"Evening"	"Short Delay"	1191
"1066"	"Mar"	"Thurs"	"Mid-Day"	"Cancelled"	407
"1067"	"Mar"	"Thurs"	"Mid-Day"	"Long Delay"	1273
"1068"	"Mar"	"Thurs"	"Mid-Day"	"Medium Delay"	2249
"1069"	"Mar"	"Thurs"	"Mid-Day"	"On Time"	6325
"1070"	"Mar"	"Thurs"	"Mid-Day"	"Short Delay"	1313
"1071"	"Mar"	"Thurs"	"Morning"	"Cancelled"	126
"1072"	"Mar"	"Thurs"	"Morning"	"Long Delay"	383
"1073"	"Mar"	"Thurs"	"Morning"	"Medium Delay"	887
"1074"	"Mar"	"Thurs"	"Morning"	"On Time"	3844
"1075"	"Mar"	"Thurs"	"Morning"	"Short Delay"	660
"1076"	"Mar"	"Thurs"	"Night"	"Cancelled"	36
"1077"	"Mar"	"Thurs"	"Night"	"Long Delay"	167
"1078"	"Mar"	"Thurs"	"Night"	"Medium Delay"	217
"1079"	"Mar"	"Thurs"	"Night"	"On Time"	539
"1080"	"Mar"	"Thurs"	"Night"	"Short Delay"	111
"1081"	"Mar"	"Tues"	"Evening"	"Cancelled"	177
"1082"	"Mar"	"Tues"	"Evening"	"Long Delay"	804
"1083"	"Mar"	"Tues"	"Evening"	"Medium Delay"	1765
"1084"	"Mar"	"Tues"	"Evening"	"On Time"	6508
"1085"	"Mar"	"Tues"	"Evening"	"Short Delay"	988
"1086"	"Mar"	"Tues"	"Mid-Day"	"Cancelled"	232
"1087"	"Mar"	"Tues"	"Mid-Day"	"Long Delay"	621
"1088"	"Mar"	"Tues"	"Mid-Day"	"Medium Delay"	1631
"1089"	"Mar"	"Tues"	"Mid-Day"	"On Time"	7339
"1090"	"Mar"	"Tues"	"Mid-Day"	"Short Delay"	1108
"1091"	"Mar"	"Tues"	"Morning"	"Cancelled"	106
"1092"	"Mar"	"Tues"	"Morning"	"Long Delay"	272
"1093"	"Mar"	"Tues"	"Morning"	"Medium Delay"	708
"1094"	"Mar"	"Tues"	"Morning"	"On Time"	3928
"1095"	"Mar"	"Tues"	"Morning"	"Short Delay"	524
"1096"	"Mar"	"Tues"	"Night"	"Cancelled"	18
"1097"	"Mar"	"Tues"	"Night"	"Long Delay"	82
"1098"	"Mar"	"Tues"	"Night"	"Medium Delay"	142
"1099"	"Mar"	"Tues"	"Night"	"On Time"	648
"1100"	"Mar"	"Tues"	"Night"	"Short Delay"	87
"1101"	"Mar"	"Wed"	"Evening"	"Cancelled"	133
"1102"	"Mar"	"Wed"	"Evening"	"Long Delay"	1126
"1103"	"Mar"	"Wed"	"Evening"	"Medium Delay"	2349
"1104"	"Mar"	"Wed"	"Evening"	"On Time"	5833
"1105"	"Mar"	"Wed"	"Evening"	"Short Delay"	1095
"1106"	"Mar"	"Wed"	"Mid-Day"	"Cancelled"	166
"1107"	"Mar"	"Wed"	"Mid-Day"	"Long Delay"	841
"1108"	"Mar"	"Wed"	"Mid-Day"	"Medium Delay"	1983
"1109"	"Mar"	"Wed"	"Mid-Day"	"On Time"	7083
"1110"	"Mar"	"Wed"	"Mid-Day"	"Short Delay"	1159
"1111"	"Mar"	"Wed"	"Morning"	"Cancelled"	97
"1112"	"Mar"	"Wed"	"Morning"	"Long Delay"	337
"1113"	"Mar"	"Wed"	"Morning"	"Medium Delay"	695
"1114"	"Mar"	"Wed"	"Morning"	"On Time"	3975
"1115"	"Mar"	"Wed"	"Morning"	"Short Delay"	593
"1116"	"Mar"	"Wed"	"Night"	"Cancelled"	12
"1117"	"Mar"	"Wed"	"Night"	"Long Delay"	118
"1118"	"Mar"	"Wed"	"Night"	"Medium Delay"	190
"1119"	"Mar"	"Wed"	"Night"	"On Time"	593
"1120"	"Mar"	"Wed"	"Night"	"Short Delay"	89
"1121"	"May"	"Fri"	"Evening"	"Cancelled"	110
"1122"	"May"	"Fri"	"Evening"	"Long Delay"	1306
"1123"	"May"	"Fri"	"Evening"	"Medium Delay"	1960
"1124"	"May"	"Fri"	"Evening"	"On Time"	5729
"1125"	"May"	"Fri"	"Evening"	"Short Delay"	1046
"1126"	"May"	"Fri"	"Mid-Day"	"Cancelled"	110
"1127"	"May"	"Fri"	"Mid-Day"	"Long Delay"	843
"1128"	"May"	"Fri"	"Mid-Day"	"Medium Delay"	1973
"1129"	"May"	"Fri"	"Mid-Day"	"On Time"	6911
"1130"	"May"	"Fri"	"Mid-Day"	"Short Delay"	1336
"1131"	"May"	"Fri"	"Morning"	"Cancelled"	53
"1132"	"May"	"Fri"	"Morning"	"Long Delay"	263
"1133"	"May"	"Fri"	"Morning"	"Medium Delay"	715
"1134"	"May"	"Fri"	"Morning"	"On Time"	4047
"1135"	"May"	"Fri"	"Morning"	"Short Delay"	624
"1136"	"May"	"Fri"	"Night"	"Cancelled"	11
"1137"	"May"	"Fri"	"Night"	"Long Delay"	120
"1138"	"May"	"Fri"	"Night"	"Medium Delay"	172
"1139"	"May"	"Fri"	"Night"	"On Time"	549
"1140"	"May"	"Fri"	"Night"	"Short Delay"	99
"1141"	"May"	"Mon"	"Evening"	"Cancelled"	108
"1142"	"May"	"Mon"	"Evening"	"Long Delay"	1058
"1143"	"May"	"Mon"	"Evening"	"Medium Delay"	1744
"1144"	"May"	"Mon"	"Evening"	"On Time"	6266
"1145"	"May"	"Mon"	"Evening"	"Short Delay"	938
"1146"	"May"	"Mon"	"Mid-Day"	"Cancelled"	84
"1147"	"May"	"Mon"	"Mid-Day"	"Long Delay"	707
"1148"	"May"	"Mon"	"Mid-Day"	"Medium Delay"	1747
"1149"	"May"	"Mon"	"Mid-Day"	"On Time"	7405
"1150"	"May"	"Mon"	"Mid-Day"	"Short Delay"	1158
"1151"	"May"	"Mon"	"Morning"	"Cancelled"	61
"1152"	"May"	"Mon"	"Morning"	"Long Delay"	232
"1153"	"May"	"Mon"	"Morning"	"Medium Delay"	616
"1154"	"May"	"Mon"	"Morning"	"On Time"	3976
"1155"	"May"	"Mon"	"Morning"	"Short Delay"	568
"1156"	"May"	"Mon"	"Night"	"Cancelled"	5
"1157"	"May"	"Mon"	"Night"	"Long Delay"	126
"1158"	"May"	"Mon"	"Night"	"Medium Delay"	134
"1159"	"May"	"Mon"	"Night"	"On Time"	605
"1160"	"May"	"Mon"	"Night"	"Short Delay"	88
"1161"	"May"	"Sat"	"Evening"	"Cancelled"	42
"1162"	"May"	"Sat"	"Evening"	"Long Delay"	457
"1163"	"May"	"Sat"	"Evening"	"Medium Delay"	1167
"1164"	"May"	"Sat"	"Evening"	"On Time"	6123
"1165"	"May"	"Sat"	"Evening"	"Short Delay"	696
"1166"	"May"	"Sat"	"Mid-Day"	"Cancelled"	72
"1167"	"May"	"Sat"	"Mid-Day"	"Long Delay"	464
"1168"	"May"	"Sat"	"Mid-Day"	"Medium Delay"	1423
"1169"	"May"	"Sat"	"Mid-Day"	"On Time"	7181
"1170"	"May"	"Sat"	"Mid-Day"	"Short Delay"	1026
"1171"	"May"	"Sat"	"Morning"	"Cancelled"	58
"1172"	"May"	"Sat"	"Morning"	"Long Delay"	221
"1173"	"May"	"Sat"	"Morning"	"Medium Delay"	645
"1174"	"May"	"Sat"	"Morning"	"On Time"	3754
"1175"	"May"	"Sat"	"Morning"	"Short Delay"	452
"1176"	"May"	"Sat"	"Night"	"Cancelled"	7
"1177"	"May"	"Sat"	"Night"	"Long Delay"	35
"1178"	"May"	"Sat"	"Night"	"Medium Delay"	79
"1179"	"May"	"Sat"	"Night"	"On Time"	503
"1180"	"May"	"Sat"	"Night"	"Short Delay"	44
"1181"	"May"	"Sun"	"Evening"	"Cancelled"	108
"1182"	"May"	"Sun"	"Evening"	"Long Delay"	973
"1183"	"May"	"Sun"	"Evening"	"Medium Delay"	1690
"1184"	"May"	"Sun"	"Evening"	"On Time"	5780
"1185"	"May"	"Sun"	"Evening"	"Short Delay"	928
"1186"	"May"	"Sun"	"Mid-Day"	"Cancelled"	83
"1187"	"May"	"Sun"	"Mid-Day"	"Long Delay"	535
"1188"	"May"	"Sun"	"Mid-Day"	"Medium Delay"	1429
"1189"	"May"	"Sun"	"Mid-Day"	"On Time"	7248
"1190"	"May"	"Sun"	"Mid-Day"	"Short Delay"	1037
"1191"	"May"	"Sun"	"Morning"	"Cancelled"	34
"1192"	"May"	"Sun"	"Morning"	"Long Delay"	158
"1193"	"May"	"Sun"	"Morning"	"Medium Delay"	428
"1194"	"May"	"Sun"	"Morning"	"On Time"	3513
"1195"	"May"	"Sun"	"Morning"	"Short Delay"	331
"1196"	"May"	"Sun"	"Night"	"Cancelled"	7
"1197"	"May"	"Sun"	"Night"	"Long Delay"	113
"1198"	"May"	"Sun"	"Night"	"Medium Delay"	150
"1199"	"May"	"Sun"	"Night"	"On Time"	512
"1200"	"May"	"Sun"	"Night"	"Short Delay"	77
"1201"	"May"	"Thurs"	"Evening"	"Cancelled"	84
"1202"	"May"	"Thurs"	"Evening"	"Long Delay"	1237
"1203"	"May"	"Thurs"	"Evening"	"Medium Delay"	2296
"1204"	"May"	"Thurs"	"Evening"	"On Time"	5921
"1205"	"May"	"Thurs"	"Evening"	"Short Delay"	1238
"1206"	"May"	"Thurs"	"Mid-Day"	"Cancelled"	98
"1207"	"May"	"Thurs"	"Mid-Day"	"Long Delay"	769
"1208"	"May"	"Thurs"	"Mid-Day"	"Medium Delay"	2116
"1209"	"May"	"Thurs"	"Mid-Day"	"On Time"	7471
"1210"	"May"	"Thurs"	"Mid-Day"	"Short Delay"	1378
"1211"	"May"	"Thurs"	"Morning"	"Cancelled"	75
"1212"	"May"	"Thurs"	"Morning"	"Long Delay"	273
"1213"	"May"	"Thurs"	"Morning"	"Medium Delay"	777
"1214"	"May"	"Thurs"	"Morning"	"On Time"	4326
"1215"	"May"	"Thurs"	"Morning"	"Short Delay"	608
"1216"	"May"	"Thurs"	"Night"	"Cancelled"	7
"1217"	"May"	"Thurs"	"Night"	"Long Delay"	144
"1218"	"May"	"Thurs"	"Night"	"Medium Delay"	200
"1219"	"May"	"Thurs"	"Night"	"On Time"	583
"1220"	"May"	"Thurs"	"Night"	"Short Delay"	96
"1221"	"May"	"Tues"	"Evening"	"Cancelled"	105
"1222"	"May"	"Tues"	"Evening"	"Long Delay"	918
"1223"	"May"	"Tues"	"Evening"	"Medium Delay"	1744
"1224"	"May"	"Tues"	"Evening"	"On Time"	6617
"1225"	"May"	"Tues"	"Evening"	"Short Delay"	1038
"1226"	"May"	"Tues"	"Mid-Day"	"Cancelled"	108
"1227"	"May"	"Tues"	"Mid-Day"	"Long Delay"	529
"1228"	"May"	"Tues"	"Mid-Day"	"Medium Delay"	1561
"1229"	"May"	"Tues"	"Mid-Day"	"On Time"	8023
"1230"	"May"	"Tues"	"Mid-Day"	"Short Delay"	1198
"1231"	"May"	"Tues"	"Morning"	"Cancelled"	39
"1232"	"May"	"Tues"	"Morning"	"Long Delay"	218
"1233"	"May"	"Tues"	"Morning"	"Medium Delay"	578
"1234"	"May"	"Tues"	"Morning"	"On Time"	4497
"1235"	"May"	"Tues"	"Morning"	"Short Delay"	515
"1236"	"May"	"Tues"	"Night"	"Cancelled"	12
"1237"	"May"	"Tues"	"Night"	"Long Delay"	94
"1238"	"May"	"Tues"	"Night"	"Medium Delay"	159
"1239"	"May"	"Tues"	"Night"	"On Time"	660
"1240"	"May"	"Tues"	"Night"	"Short Delay"	102
"1241"	"May"	"Wed"	"Evening"	"Cancelled"	173
"1242"	"May"	"Wed"	"Evening"	"Long Delay"	1275
"1243"	"May"	"Wed"	"Evening"	"Medium Delay"	1951
"1244"	"May"	"Wed"	"Evening"	"On Time"	5969
"1245"	"May"	"Wed"	"Evening"	"Short Delay"	1067
"1246"	"May"	"Wed"	"Mid-Day"	"Cancelled"	110
"1247"	"May"	"Wed"	"Mid-Day"	"Long Delay"	685
"1248"	"May"	"Wed"	"Mid-Day"	"Medium Delay"	1810
"1249"	"May"	"Wed"	"Mid-Day"	"On Time"	7594
"1250"	"May"	"Wed"	"Mid-Day"	"Short Delay"	1233
"1251"	"May"	"Wed"	"Morning"	"Cancelled"	54
"1252"	"May"	"Wed"	"Morning"	"Long Delay"	219
"1253"	"May"	"Wed"	"Morning"	"Medium Delay"	625
"1254"	"May"	"Wed"	"Morning"	"On Time"	4436
"1255"	"May"	"Wed"	"Morning"	"Short Delay"	521
"1256"	"May"	"Wed"	"Night"	"Cancelled"	9
"1257"	"May"	"Wed"	"Night"	"Long Delay"	133
"1258"	"May"	"Wed"	"Night"	"Medium Delay"	189
"1259"	"May"	"Wed"	"Night"	"On Time"	603
"1260"	"May"	"Wed"	"Night"	"Short Delay"	91
"1261"	"Nov"	"Fri"	"Evening"	"Cancelled"	84
"1262"	"Nov"	"Fri"	"Evening"	"Long Delay"	601
"1263"	"Nov"	"Fri"	"Evening"	"Medium Delay"	1687
"1264"	"Nov"	"Fri"	"Evening"	"On Time"	6086
"1265"	"Nov"	"Fri"	"Evening"	"Short Delay"	1038
"1266"	"Nov"	"Fri"	"Mid-Day"	"Cancelled"	88
"1267"	"Nov"	"Fri"	"Mid-Day"	"Long Delay"	551
"1268"	"Nov"	"Fri"	"Mid-Day"	"Medium Delay"	1784
